text,label,source
i want to decrease display brightness,decrease_brightness,paraphrase
decrease well the bright,decrease_brightness,filler
igjore the call,decline_call,char_noise
please kya time ho gaya,out_of_scope,paraphrase
turn down the brightness,decrease_brightness,clean
stop um gadi,stop_vehicle,asr_noise
brightness karo,decrease_brightness,dropped
cancel do not hmm disturb,deactivate_dnd,asr_noise
make it loudwr,increase_volume,char_noise
turn sown the volume,decrease_volume,char_noise
actually stop well my car,stop_vehicle,filler
back to the last track,previous_song,clean
err ignite de engine,start_vehicle,asr_noise
volume,decrease_volume,dropped
"hey, cancel do not disturb",deactivate_dnd,paraphrase
i want to set do not disturb,activate_dnd,paraphrase
i want to decrease the fan speed,out_of_scope,paraphrase
mujhe ghar le chalo well,out_of_scope,asr_noise
so increase volum,increase_volume,asr_noise
turn on the,play_music,dropped
john,out_of_scope,dropped
"hey, raise the screen brightness",increase_brightness,paraphrase
i want to listen to music,play_music,clean
on the muwic,play_music,char_noise
read my notifications,out_of_scope,clean
please turn on do not disturb,activate_dnd,paraphrase
turn up volum,increase_volume,asr_noise
petrol station kahag hai,out_of_scope,char_noise
bring de basically sound up,increase_volume,asr_noise
please quiet please,decrease_volume,paraphrase
like how much fuel is left actually,out_of_scope,filler
increase the vplume,increase_volume,char_noise
can you start engine please,start_vehicle,paraphrase
please to activate like dnd,activate_dnd,asr_noise
actually deact of ate dnd,deactivate_dnd,asr_noise
err skip de current song,next_song,asr_noise
louder please like um,increase_volume,filler
paws it please,pause_music,asr_noise
fire up de car,start_vehicle,asr_noise
next song,next_song,dropped
check you know my schedule for tomorrow,out_of_scope,asr_noise
music like ruko,pause_music,asr_noise
reduce,decrease_volume,dropped
pauce playback,pause_music,char_noise
i want to mummy ko call karo,out_of_scope,paraphrase
basically mute the music,pause_music,filler
rewind so to the previous song,previous_song,filler
i want to crank up the brightness,increase_brightness,paraphrase
please turn on the headlights,out_of_scope,paraphrase
the,pause_music,dropped
"hey, kya time ho gaya",out_of_scope,paraphrase
send the call to voicemail,decline_call,clean
can you resume the music,play_music,paraphrase
i want to connect the call,pick_up_call,paraphrase
can you turn the car off,stop_vehicle,paraphrase
next please,next_song,clean
can you turn on the engine,start_vehicle,paraphrase
i don't want to take this call uh,decline_call,filler
please go back to the previous track,previous_song,paraphrase
qend the call to voicemail,decline_call,char_noise
sound up,increase_volume,clean
who is the prime minister of india,out_of_scope,clean
vhat is de weater today,out_of_scope,asr_noise
decrease dispkay brightness,decrease_brightness,char_noise
i need more v0lume,increase_volume,char_noise
can you start playing music,play_music,paraphrase
basically well receive the call,pick_up_call,filler
